subID,itemID,trialID,blockID,acc,baseline,"pre(0 = no pre, -1=pre wrong, 1=pre right)"
2,29,5,4,1,0,1
2,33,1,5,1,0.352941176,0
2,34,2,5,1,0,1
2,35,3,5,1,0.117647059,1
2,36,4,5,1,0,1
2,37,5,5,1,0.176470588,1
2,41,1,6,1,0.294117647,0
2,42,2,6,1,0.058823529,1
2,43,3,6,1,0.235294118,1
2,44,4,6,1,0.411764706,1
2,45,5,6,1,0.235294118,1
2,49,1,7,1,0.294117647,0
2,50,2,7,1,0,1
2,51,3,7,1,0.117647059,1
2,52,4,7,1,0.588235294,1
2,53,5,7,1,0.176470588,1
2,57,1,8,1,0.117647059,0
2,58,2,8,1,0.058823529,1
2,59,3,8,1,0,1
2,60,4,8,1,0.117647059,1
2,61,5,8,1,0.411764706,1
2,65,1,9,0,0,0
2,66,2,9,0,0.529411765,-1
2,67,3,9,0,0.176470588,-1
2,68,4,9,0,0,-1
2,69,5,9,1,0.058823529,-1
2,73,1,10,0,0,0
2,74,2,10,0,0.176470588,-1
2,75,3,10,0,0,-1
2,76,4,10,0,0,-1
2,77,5,10,0,0.176470588,-1
2,81,1,11,1,0,0
2,82,2,11,1,0.352941176,1
2,83,3,11,1,0,1
2,84,4,11,1,0.588235294,1
2,85,5,11,1,0.411764706,1
2,89,1,12,0,0.117647059,0
2,90,2,12,0,0,-1
2,91,3,12,0,0.294117647,-1
2,92,4,12,0,0.058823529,-1
2,93,5,12,0,0,-1
3,1,1,1,0,0,0
3,2,2,1,0,0,-1
3,3,3,1,0,0.058823529,-1
3,4,4,1,0,0.117647059,-1
3,5,5,1,0,0.294117647,-1
3,9,1,2,1,0.058823529,0
3,10,2,2,1,0,1
3,11,3,2,1,0.058823529,1
3,12,4,2,1,0,1
3,13,5,2,1,0,1
3,17,1,3,0,0,0
3,18,2,3,0,0.058823529,-1
3,19,3,3,0,0.058823529,-1
3,20,4,3,0,0.294117647,-1
3,21,5,3,0,0,-1
3,25,1,4,0,0.117647059,0
3,26,2,4,1,0.117647059,-1
3,27,3,4,1,0.058823529,1
3,28,4,4,1,0.235294118,1
3,29,5,4,1,0,1
3,33,1,5,1,0.352941176,0
3,34,2,5,1,0,1
3,35,3,5,1,0.117647059,1
3,36,4,5,1,0,1
3,37,5,5,1,0.176470588,1
3,41,1,6,0,0.294117647,0
3,42,2,6,1,0.058823529,-1
3,43,3,6,1,0.235294118,1
3,44,4,6,1,0.411764706,1
3,45,5,6,1,0.235294118,1
3,49,1,7,0,0.294117647,0
3,50,2,7,0,0,-1
3,51,3,7,0,0.117647059,-1
3,52,4,7,1,0.588235294,-1
3,53,5,7,0,0.176470588,1
3,57,1,8,1,0.117647059,0
3,58,2,8,1,0.058823529,1
3,59,3,8,1,0,1
3,60,4,8,1,0.117647059,1
3,61,5,8,1,0.411764706,1
3,65,1,9,0,0,0
3,66,2,9,1,0.529411765,-1
3,67,3,9,0,0.176470588,1
3,68,4,9,1,0,-1
3,69,5,9,1,0.058823529,1
3,73,1,10,0,0,0
3,74,2,10,0,0.176470588,-1
3,75,3,10,0,0,-1
3,76,4,10,0,0,-1
3,77,5,10,0,0.176470588,-1
3,81,1,11,0,0,0
3,82,2,11,0,0.352941176,-1
3,83,3,11,0,0,-1
3,84,4,11,0,0.588235294,-1
3,85,5,11,0,0.411764706,-1
3,89,1,12,0,0.117647059,0
3,90,2,12,1,0,-1
3,91,3,12,0,0.294117647,1
3,92,4,12,0,0.058823529,-1
3,93,5,12,0,0,-1
4,1,1,1,0,0,0
4,2,2,1,0,0,-1
4,3,3,1,0,0.058823529,-1
4,4,4,1,0,0.117647059,-1
4,5,5,1,0,0.294117647,-1
4,9,1,2,1,0.058823529,0
4,10,2,2,1,0,1
4,11,3,2,1,0.058823529,1
4,12,4,2,1,0,1
4,13,5,2,1,0,1
4,17,1,3,0,0,0
4,18,2,3,0,0.058823529,-1
4,19,3,3,0,0.058823529,-1
4,20,4,3,0,0.294117647,-1
4,21,5,3,0,0,-1
4,25,1,4,0,0.117647059,0
4,26,2,4,0,0.117647059,-1
4,27,3,4,0,0.058823529,-1
4,28,4,4,0,0.235294118,-1
4,29,5,4,0,0,-1
4,33,1,5,0,0.352941176,0
4,34,2,5,0,0,-1
4,35,3,5,0,0.117647059,-1
4,36,4,5,0,0,-1
4,37,5,5,0,0.176470588,-1
4,41,1,6,0,0.294117647,0
4,42,2,6,0,0.058823529,-1
4,43,3,6,0,0.235294118,-1
4,44,4,6,1,0.411764706,-1
4,45,5,6,0,0.235294118,1
4,49,1,7,0,0.294117647,0
4,50,2,7,0,0,-1
4,51,3,7,0,0.117647059,-1
4,52,4,7,0,0.588235294,-1
4,53,5,7,0,0.176470588,-1
4,57,1,8,0,0.117647059,0
4,58,2,8,0,0.058823529,-1
4,59,3,8,0,0,-1
4,60,4,8,0,0.117647059,-1
4,61,5,8,0,0.411764706,-1
4,65,1,9,0,0,0
4,66,2,9,0,0.529411765,-1
4,67,3,9,0,0.176470588,-1
4,68,4,9,0,0,-1
4,69,5,9,0,0.058823529,-1
4,73,1,10,0,0,0
4,74,2,10,0,0.176470588,-1
4,75,3,10,0,0,-1
4,76,4,10,0,0,-1
4,77,5,10,0,0.176470588,-1
4,81,1,11,0,0,0
4,82,2,11,0,0.352941176,-1
4,83,3,11,0,0,-1
4,84,4,11,1,0.588235294,-1
4,85,5,11,1,0.411764706,1
4,89,1,12,0,0.117647059,0
4,90,2,12,0,0,-1
4,91,3,12,0,0.294117647,-1
4,92,4,12,0,0.058823529,-1
4,93,5,12,0,0,-1
5,1,1,1,0,0,0
5,2,2,1,0,0,-1
5,3,3,1,0,0.058823529,-1
5,4,4,1,0,0.117647059,-1
5,5,5,1,0,0.294117647,-1
5,9,1,2,0,0.058823529,0
5,10,2,2,0,0,-1
5,11,3,2,1,0.058823529,-1
5,12,4,2,1,0,1
5,13,5,2,1,0,1
5,17,1,3,0,0,0
5,18,2,3,0,0.058823529,-1
5,19,3,3,0,0.058823529,-1
5,20,4,3,0,0.294117647,-1
5,21,5,3,0,0,-1
5,25,1,4,1,0.117647059,0
5,26,2,4,1,0.117647059,1
5,27,3,4,1,0.058823529,1
5,28,4,4,1,0.235294118,1
5,29,5,4,1,0,1
5,33,1,5,0,0.352941176,0
5,34,2,5,0,0,-1
5,35,3,5,1,0.117647059,-1
5,36,4,5,1,0,1
5,37,5,5,1,0.176470588,1
5,41,1,6,1,0.294117647,0
5,42,2,6,1,0.058823529,1
5,43,3,6,1,0.235294118,1
5,44,4,6,1,0.411764706,1
5,45,5,6,1,0.235294118,1
5,49,1,7,1,0.294117647,0
5,50,2,7,1,0,1
5,51,3,7,1,0.117647059,1
5,52,4,7,1,0.588235294,1
5,53,5,7,1,0.176470588,1
5,57,1,8,1,0.117647059,0
5,58,2,8,1,0.058823529,1
5,59,3,8,1,0,1
5,60,4,8,1,0.117647059,1
5,61,5,8,1,0.411764706,1
5,65,1,9,0,0,0
5,66,2,9,0,0.529411765,-1
5,67,3,9,1,0.176470588,-1
5,68,4,9,0,0,1
5,69,5,9,1,0.058823529,-1
5,73,1,10,0,0,0
5,74,2,10,0,0.176470588,-1
5,75,3,10,0,0,-1
5,76,4,10,0,0,-1
5,77,5,10,0,0.176470588,-1
5,81,1,11,0,0,0
5,82,2,11,0,0.352941176,-1
5,83,3,11,0,0,-1
5,84,4,11,0,0.588235294,-1
5,85,5,11,0,0.411764706,-1
5,89,1,12,0,0.117647059,0
5,90,2,12,0,0,-1
5,91,3,12,0,0.294117647,-1
5,92,4,12,0,0.058823529,-1
5,93,5,12,0,0,-1
6,1,1,1,0,0,0
6,2,2,1,0,0,-1
6,3,3,1,0,0.058823529,-1
6,4,4,1,0,0.117647059,-1
6,5,5,1,0,0.294117647,-1
6,9,1,2,0,0.058823529,0
6,10,2,2,0,0,-1
6,11,3,2,0,0.058823529,-1
6,12,4,2,0,0,-1
6,13,5,2,0,0,-1
6,17,1,3,0,0,0
6,18,2,3,0,0.058823529,-1
6,19,3,3,0,0.058823529,-1
6,20,4,3,0,0.294117647,-1
6,21,5,3,0,0,-1
6,25,1,4,0,0.117647059,0
6,26,2,4,0,0.117647059,-1
6,27,3,4,0,0.058823529,-1
6,28,4,4,1,0.235294118,-1
6,29,5,4,1,0,1
