subID,itemID,trialID,"HL (1= low, 2=high)",acc
3,60,75,1,0
3,90,76,1,0
3,6,77,2,1
3,45,78,1,0
3,71,79,2,1
3,86,80,2,1
3,78,81,2,1
3,39,82,2,1
3,19,83,1,0
3,9,84,1,0
3,7,85,2,1
3,29,86,1,0
3,63,87,2,1
3,50,88,1,0
3,89,89,1,0
3,41,90,1,0
3,82,91,1,1
3,73,92,1,0
3,65,93,1,0
3,11,94,1,0
3,24,95,2,1
3,35,96,1,0
4,25,1,1,0
4,5,2,1,0
4,64,3,2,1
4,96,4,2,1
4,52,5,1,0
4,42,6,1,0
4,83,7,1,0
4,66,8,1,1
4,79,9,2,1
4,22,10,2,1
4,36,11,1,0
4,14,12,2,1
4,2,13,1,0
4,59,14,1,0
4,54,15,2,1
4,26,16,1,0
4,44,17,1,1
4,94,18,2,1
4,85,19,1,1
4,72,20,2,1
4,13,21,1,0
4,17,22,1,0
4,34,23,1,0
4,76,24,1,0
4,3,25,1,0
4,81,26,1,0
4,55,27,2,1
4,58,28,1,0
4,95,29,2,1
4,32,30,2,1
4,47,31,2,1
4,18,32,1,0
4,77,33,1,0
4,67,34,1,0
4,38,35,2,1
4,10,36,1,0
4,8,37,2,1
4,27,38,1,0
4,68,39,1,0
4,92,40,1,0
4,49,41,1,0
4,48,42,2,1
4,61,43,1,0
4,84,44,1,1
4,12,45,1,0
4,80,46,2,1
4,33,47,1,0
4,21,48,1,0
4,57,49,1,0
4,30,50,2,1
4,4,51,1,0
4,53,52,1,0
4,46,53,2,1
4,93,54,1,0
4,87,55,2,1
4,74,56,1,0
4,70,57,2,1
4,20,58,1,0
4,40,59,2,1
4,56,60,2,1
4,1,61,1,0
4,31,62,2,1
4,62,63,2,1
4,15,64,2,1
4,91,65,1,0
4,88,66,2,1
4,43,67,1,0
4,37,68,1,0
4,23,69,2,1
4,75,70,1,0
4,69,71,1,0
4,16,72,2,1
4,51,73,1,1
4,28,74,1,0
4,60,75,1,0
4,90,76,1,0
4,6,77,2,1
4,45,78,1,0
4,71,79,2,1
4,86,80,2,1
4,78,81,2,1
4,39,82,2,1
4,19,83,1,0
4,9,84,1,1
4,7,85,2,1
4,29,86,1,0
4,63,87,2,1
4,50,88,1,0
4,89,89,1,0
4,41,90,1,0
4,82,91,1,0
4,73,92,1,0
4,65,93,1,0
4,11,94,1,0
4,24,95,2,1
4,35,96,1,0
5,25,1,1,1
5,5,2,1,0
5,64,3,2,1
5,96,4,2,1
5,52,5,1,1
5,42,6,1,0
5,83,7,1,0
5,66,8,1,0
5,79,9,2,1
5,22,10,2,1
5,36,11,1,0
5,14,12,2,1
5,2,13,1,0
5,59,14,1,0
5,54,15,2,1
5,26,16,1,0
5,44,17,1,0
5,94,18,2,1
5,85,19,1,0
5,72,20,2,1
5,13,21,1,0
5,17,22,1,0
5,34,23,1,0
5,76,24,1,0
5,3,25,1,0
5,81,26,1,0
5,55,27,2,1
5,58,28,1,0
5,95,29,2,1
5,32,30,2,1
5,47,31,2,1
5,18,32,1,0
5,77,33,1,0
5,67,34,1,0
5,38,35,2,1
5,10,36,1,0
5,8,37,2,1
5,27,38,1,0
5,68,39,1,0
5,92,40,1,0
5,49,41,1,1
5,48,42,2,1
5,61,43,1,1
5,84,44,1,0
5,12,45,1,0
5,80,46,2,1
5,33,47,1,0
5,21,48,1,0
5,57,49,1,0
5,30,50,2,1
5,4,51,1,0
5,53,52,1,1
5,46,53,2,0
5,93,54,1,0
5,87,55,2,1
5,74,56,1,1
5,70,57,2,1
5,20,58,1,1
5,40,59,2,1
5,56,60,2,1
5,1,61,1,0
5,31,62,2,1
5,62,63,2,1
5,15,64,2,1
